sku_id,sku_name,category,subcategory,list_price,unit_price,brand
SKU00001,NutriPlus Cookware Large,Home & Kitchen,Cookware,813.41,619.77,NutriPlus
SKU00002,CrispKing Bread Family Pack,Dairy & Bakery,Bread,70.38,49.57,CrispKing
SKU00003,SoftTouch Notebooks 2L,Stationery & Office,Notebooks,151.28,83.67,SoftTouch
SKU00004,SunriseFoods Eggs Large,Dairy & Bakery,Eggs,233.64,156.32,SunriseFoods
SKU00005,SunriseFoods Pest Control Pack of 6,Home Care,Pest Control,138.5,83.46,SunriseFoods
SKU00006,UrbanBite OTC Medicine 100g,Health & Wellness,OTC Medicine,1413.92,830.81,UrbanBite
SKU00007,GreenValley Energy Drinks Pack of 12,Beverages,Energy Drinks,129.75,78.97,GreenValley
SKU00008,CleanWave Frozen Vegetables 100g,Frozen Foods,Frozen Vegetables,492.11,358.31,CleanWave
SKU00009,SmartBuy Frozen Vegetables Medium,Frozen Foods,Frozen Vegetables,251.86,178.03,SmartBuy
SKU00010,SparkleClean Footwear 250ml,Apparel & Footwear,Footwear,1602.79,1096.65,SparkleClean
SKU00011,PremiumSelect Writing Instruments 500g,Stationery & Office,Writing Instruments,123.36,83.12,PremiumSelect
SKU00012,HomeStyle Vitamins & Supplements 1kg,Health & Wellness,Vitamins & Supplements,813.52,526.59,HomeStyle
SKU00013,PrimeCare Hair Care Pack of 12,Personal Care,Hair Care,521.95,402.76,PrimeCare
SKU00014,EliteHome Men's Grooming Medium,Personal Care,Men's Grooming,161.5,126.47,EliteHome
SKU00015,EverydayPlus Dishwashing 2L,Home Care,Dishwashing,277.24,205.47,EverydayPlus
SKU00016,PrimeCare Men's Wear 500g,Apparel & Footwear,Men's Wear,3478.65,2163.92,PrimeCare
SKU00017,CleanWave Eggs Large,Dairy & Bakery,Eggs,280.39,218.27,CleanWave
SKU00018,PurePlus Chips & Crisps Small,Snacks & Confectionery,Chips & Crisps,93.88,70.86,PurePlus
SKU00019,PremiumSelect Hair Care 500ml,Personal Care,Hair Care,394.36,229.13,PremiumSelect
SKU00020,SmartBuy Rice & Grains 2L,Grocery,Rice & Grains,109.5,69.58,SmartBuy
SKU00021,DailyBest Tea Family Pack,Beverages,Tea,116.7,73.74,DailyBest
SKU00022,PrimeCare Bottled Water 250ml,Beverages,Bottled Water,201.01,147.24,PrimeCare
SKU00023,MetroBrand Footwear 100g,Apparel & Footwear,Footwear,2028.91,1381.64,MetroBrand
SKU00024,HealthFirst Batteries 500g,Electronics & Accessories,Batteries,2711.05,1671.96,HealthFirst
SKU00025,CityFresh Mobile Accessories Pack of 6,Electronics & Accessories,Mobile Accessories,2441.35,1483.61,CityFresh
SKU00026,PrimeCare Laundry Family Pack,Home Care,Laundry,287.47,190.99,PrimeCare
SKU00027,TrueTaste Mobile Accessories Small,Electronics & Accessories,Mobile Accessories,608.24,435.8,TrueTaste
SKU00028,NatureBlend Bottled Water Pack of 6,Beverages,Bottled Water,94.45,63.96,NatureBlend
SKU00029,BasicNeeds Cookware 2kg,Home & Kitchen,Cookware,1987.18,1222.63,BasicNeeds
SKU00030,FreshFarm Frozen Meat 500ml,Frozen Foods,Frozen Meat,402.34,283.65,FreshFarm
SKU00031,BasicNeeds Office Supplies 100g,Stationery & Office,Office Supplies,151.46,121.13,BasicNeeds
SKU00032,PrimeCare Coffee 250ml,Beverages,Coffee,51.91,30.84,PrimeCare
SKU00033,NovaFresh Air Fresheners Pack of 6,Home Care,Air Fresheners,164.5,112.21,NovaFresh
SKU00034,TrueTaste Small Appliances Large,Electronics & Accessories,Small Appliances,2105.17,1355.55,TrueTaste
SKU00035,PremiumSelect Air Fresheners Large,Home Care,Air Fresheners,215.32,130.18,PremiumSelect
SKU00036,CleanWave Air Fresheners Medium,Home Care,Air Fresheners,188.79,145.16,CleanWave
SKU00037,EverydayPlus Energy Drinks 100g,Beverages,Energy Drinks,109.86,86.73,EverydayPlus
SKU00038,CleanWave Skin Care Medium,Personal Care,Skin Care,377.52,240.69,CleanWave
SKU00039,GreenValley Candy 1kg,Snacks & Confectionery,Candy,124.83,79.49,GreenValley
SKU00040,CityFresh Cheese Pack of 6,Dairy & Bakery,Cheese,206.7,118.43,CityFresh
SKU00041,NovaFresh Small Appliances Family Pack,Electronics & Accessories,Small Appliances,2490.74,1754.57,NovaFresh
SKU00042,ValueChoice OTC Medicine Large,Health & Wellness,OTC Medicine,1110.09,617.92,ValueChoice
SKU00043,NovaFresh First Aid Pack of 6,Health & Wellness,First Aid,615.37,414.79,NovaFresh
SKU00044,PureLife Skin Care 2kg,Personal Care,Skin Care,525.77,309.26,PureLife
SKU00045,SmartBuy Writing Instruments 1L,Stationery & Office,Writing Instruments,352.71,253.27,SmartBuy
SKU00046,QuickBite Bottled Water Pack of 12,Beverages,Bottled Water,154.0,120.46,QuickBite
SKU00047,NutriPlus Men's Grooming 1L,Personal Care,Men's Grooming,289.44,165.62,NutriPlus
SKU00048,BasicNeeds Energy Drinks 500ml,Beverages,Energy Drinks,111.68,83.14,BasicNeeds
SKU00049,CityFresh Oral Care 500ml,Personal Care,Oral Care,584.25,442.65,CityFresh
SKU00050,PremiumSelect Office Supplies 2L,Stationery & Office,Office Supplies,34.08,20.25,PremiumSelect
SKU00051,CrispKing Oral Care 100g,Personal Care,Oral Care,336.75,262.89,CrispKing
SKU00052,ValueChoice Storage & Containers Family Pack,Home & Kitchen,Storage & Containers,1372.15,967.68,ValueChoice
SKU00053,BasicNeeds Pest Control 250g,Home Care,Pest Control,322.02,220.18,BasicNeeds
SKU00054,FreshFarm Small Appliances Family Pack,Electronics & Accessories,Small Appliances,2079.97,1493.11,FreshFarm
SKU00055,PureLife Surface Cleaners 100g,Home Care,Surface Cleaners,409.38,254.65,PureLife
SKU00056,NovaFresh Butter & Ghee 1L,Dairy & Bakery,Butter & Ghee,79.8,44.4,NovaFresh
SKU00057,FamilyChoice Kids Wear 500ml,Apparel & Footwear,Kids Wear,2287.08,1510.65,FamilyChoice
SKU00058,NutriPlus Office Supplies 2L,Stationery & Office,Office Supplies,95.03,69.93,NutriPlus
SKU00059,TrueTaste Butter & Ghee 500ml,Dairy & Bakery,Butter & Ghee,122.45,95.47,TrueTaste
SKU00060,BasicNeeds Men's Wear Large,Apparel & Footwear,Men's Wear,724.16,476.15,BasicNeeds
SKU00061,CrispKing Milk 100g,Dairy & Bakery,Milk,249.85,153.89,CrispKing
SKU00062,EverydayPlus Mobile Accessories Family Pack,Electronics & Accessories,Mobile Accessories,499.45,291.09,EverydayPlus
SKU00063,PremiumSelect Women's Wear Pack of 12,Apparel & Footwear,Women's Wear,1612.54,1264.03,PremiumSelect
SKU00064,UrbanBite Air Fresheners Small,Home Care,Air Fresheners,214.86,130.58,UrbanBite
SKU00065,BasicNeeds Small Appliances 500g,Electronics & Accessories,Small Appliances,964.12,749.86,BasicNeeds
SKU00066,FreshFarm Cheese 100g,Dairy & Bakery,Cheese,222.25,132.45,FreshFarm
